IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2201,"Swap out CTD, DO and OPTAA instrument at site.",2022-08-09 01:25:00,2022-08-09 11:52:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2201,2022-08-09 03:16:52,"depth constant around 970, full stop.",44.5150656,-125.3908661,970.96,235.24,-0.27,0.16,2.11,0.04,"Vehicle ",3.2325,3.8364,978.684,0.2,34.3838,
2201,2022-08-09 03:54:05,"spider-like organism",44.5150803,-125.3909897,969.09,235.03,2.74,0.27,2.12,0,"Biology ",3.23343,3.8484,976.554,0.19,34.3834,./files/framegrabs/SDI1_8_9_2022 01_22_33_09069.jpg
2201,2022-08-09 04:09:00,"Winch moving",44.5150313,-125.3910621,969.94,234.42,7.36,0.64,2.12,0.12,"Other ",3.23327,3.8478,977.914,0.19,34.3815,./files/framegrabs/SDI1_8_9_2022 01_22_33_09983.jpg
2201,2022-08-09 04:11:36,"resume descent",44.5150871,-125.3910422,1026.93,234.52,5.5,0.02,2.11,0.1,"Vehicle ",3.2257,3.7136,1035.551,0.21,34.4026,./files/framegrabs/SDI1_8_9_2022 01_22_33_10134.jpg
2201,2022-08-09 04:21:57,"Brush shaped jellyfish?",44.5151497,-125.3908441,1327.54,234.91,3.63,0.7,2.12,0.1,"Biology ",3.17988,2.9778,1340.586,0.37,34.4729,./files/framegrabs/SDI1_8_9_2022 01_22_33_10755.jpg
2201,2022-08-09 04:22:52,"Jellyfish",44.5151422,-125.3908185,1353.72,235.09,-1.37,1.66,2.12,0,"Biology ",3.17702,2.9221,1367.183,0.39,34.4837,./files/framegrabs/SDI1_8_9_2022 01_22_33_10804.jpg
2201,2022-08-09 04:34:30,"full stop to add cooling to winch",44.5149593,-125.3908705,1685.55,235.23,-0.08,0.54,2.11,0.03,"Other ",3.14427,2.326,1703.496,0.77,34.549,./files/framegrabs/SDI1_8_9_2022 01_22_33_11515.jpg
2201,2022-08-09 04:36:18,"started descent again",44.5149723,-125.3909024,1688.32,234.73,0.28,0.97,2.11,0,"Vehicle ",3.14405,2.3203,1706.691,0.78,34.5508,
2201,2022-08-09 05:06:51,"shrimp?",44.514882,-125.3906188,2463.12,234.64,3.83,1.29,2.11,0.06,"Biology ",-,-,-,-,-,./files/framegrabs/SDI1_8_9_2022 01_22_33_13451.jpg
2201,2022-08-09 05:23:09,"slowed down",44.5152743,-125.3899475,2877.93,204.2,1.15,0.19,2.09,0.04,"Vehicle ",3.14694,1.7233,2919.03,1.49,34.6392,./files/framegrabs/SDI1_8_9_2022 01_22_33_14427.jpg
2201,2022-08-09 05:26:34,"saw LJ01A",44.5152707,-125.3899536,2893.22,204.85,0.98,0.2,2.08,0,"Survey ",3.14762,1.7249,2934.235,1.5,34.6389,./files/framegrabs/SDI1_8_9_2022 01_22_33_14639.jpg
2201,2022-08-09 05:29:52,"DSC:LJ01At [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",44.5152704,-125.3899551,2898.24,213.34,1.98,0.17,2.08,0.03,"",3.14781,1.7244,2939.377,1.49,34.6394,./files/dscs/R2201_24895.jpg
2201,2022-08-09 05:30:31,"on bottom",44.5152834,-125.3899461,2902.04,213.54,-1.79,0.73,2.13,0,"Vehicle ",3.14803,1.7251,2943.347,1.49,34.6396,./files/framegrabs/SDI1_8_9_2022 01_22_33_14876.jpg
2201,2022-08-09 05:37:02,"Released the basket",44.5152593,-125.3899518,2896.91,215.75,-4.13,4.94,7.3,0.87,"Vehicle ",3.1482,1.729,2938.283,1.49,34.6398,
2201,2022-08-09 05:38:47,"fish",44.515069,-125.3900394,2901.78,137.51,-5.81,2.85,2.36,0.56,"Biology ",3.14797,1.7248,2943.132,1.49,34.6392,./files/framegrabs/SDI1_8_9_2022 01_22_33_15372.jpg
2201,2022-08-09 05:39:11,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4500]",44.5150252,-125.3900616,2901.5,162.78,-3.67,4.73,2.59,0.25,"",3.14804,1.726,2942.876,1.49,34.6389,./files/dscs/R2201_24896.jpg
2201,2022-08-09 05:39:34,"DSC: hydrophone [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",44.5150088,-125.3900442,2902.55,162.42,-3.87,5.06,1.49,0.26,"",3.14829,1.7288,2943.866,1.49,34.6386,./files/dscs/R2201_24897.jpg
2201,2022-08-09 05:42:45,"plugs in junction shown",44.5151968,-125.3899798,2903.58,136.43,-1.48,0.3,0.53,0.13,"Cabled Plug ",3.14804,1.7249,2944.902,1.49,34.6391,./files/framegrabs/SDI1_8_9_2022 01_22_33_15610.jpg
