Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.type,event_option.new_watchstander,event_option.filename,event_option.nav,event_option.cabled_plug,event_option.event_comment,event_option.highlights,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-14T16:20:02.723Z","44.5018046","-125.4086002","ASNAP","","admin","","","","","","","","","","-1.62","1.82","-1.6","-1.0","295.89","0.88","0.58","SciCam","/SciCam.20240814_162002723.jpg","PilotCam","/PilotCam.20240814_162002723.jpg","BrowCam","/BrowCam.20240814_162002723.jpg","UserSelect","/UserSelect.20240814_162002723.jpg","","","","","","","66bcd932111b2e001a29453d"
"2024-08-14T16:20:17.753Z","44.5017773","-125.4085561","ASNAP","","admin","","","","","","","","","","1.88","-1.21","-1.6","-1.0","295.89","0.67","0.58","SciCam","/SciCam.20240814_162017753.jpg","PilotCam","/PilotCam.20240814_162017753.jpg","BrowCam","/BrowCam.20240814_162017753.jpg","UserSelect","/UserSelect.20240814_162017753.jpg","","","-999.99","17.44","-999.99","-999.99","66bcd941111b2e001a294540"
"2024-08-14T16:20:32.778Z","44.5017774","-125.4085560","ASNAP","","admin","","","","","","","","","","1.89","-1.20","-1.6","-1.0","295.89","0.69","0.58","SciCam","/SciCam.20240814_162032778.jpg","PilotCam","/PilotCam.20240814_162032778.jpg","BrowCam","/BrowCam.20240814_162032778.jpg","UserSelect","/UserSelect.20240814_162032778.jpg","","","-999.99","17.45","-999.99","-999.99","66bcd950111b2e001a294544"
"2024-08-14T16:20:47.810Z","44.5017761","-125.4085565","ASNAP","","admin","","","","","","","","","","1.85","-1.34","-0.9","-0.3","295.89","0.67","0.58","SciCam","/SciCam.20240814_162047810.jpg","PilotCam","/PilotCam.20240814_162047810.jpg","BrowCam","/BrowCam.20240814_162047810.jpg","UserSelect","/UserSelect.20240814_162047810.jpg","","","-999.99","17.44","-999.99","-999.99","66bcd95f111b2e001a294548"
"2024-08-14T16:21:02.840Z","44.5017770","-125.4085561","ASNAP","","admin","","","","","","","","","","1.88","-1.24","-0.6","-1.1","295.89","0.61","0.58","SciCam","/SciCam.20240814_162102840.jpg","PilotCam","/PilotCam.20240814_162102840.jpg","BrowCam","/BrowCam.20240814_162102840.jpg","UserSelect","/UserSelect.20240814_162102840.jpg","","","-999.99","17.44","-999.99","-999.99","66bcd96e111b2e001a29454c"
"2024-08-14T16:21:17.871Z","44.5017765","-125.4085563","ASNAP","","admin","","","","","","","","","","1.87","-1.30","-1.3","-0.4","295.89","0.62","0.58","SciCam","/SciCam.20240814_162117871.jpg","PilotCam","/PilotCam.20240814_162117871.jpg","BrowCam","/BrowCam.20240814_162117871.jpg","UserSelect","/UserSelect.20240814_162117871.jpg","","","-999.99","17.43","-999.99","-999.99","66bcd97d111b2e001a294550"
"2024-08-14T16:21:32.902Z","44.5017768","-125.4085563","ASNAP","","admin","","","","","","","","","","1.87","-1.26","-0.2","-1.4","295.89","0.58","0.58","SciCam","/SciCam.20240814_162132902.jpg","PilotCam","/PilotCam.20240814_162132902.jpg","BrowCam","/BrowCam.20240814_162132902.jpg","UserSelect","/UserSelect.20240814_162132902.jpg","","","-999.99","17.45","-999.99","-999.99","66bcd98c111b2e001a294554"
"2024-08-14T16:21:47.933Z","44.5017761","-125.4085567","ASNAP","","admin","","","","","","","","","","1.84","-1.34","0.0","-1.0","295.89","0.57","0.58","SciCam","/SciCam.20240814_162147933.jpg","PilotCam","/PilotCam.20240814_162147933.jpg","BrowCam","/BrowCam.20240814_162147933.jpg","UserSelect","/UserSelect.20240814_162147933.jpg","","","-999.99","17.46","-999.99","-999.99","66bcd99b111b2e001a294558"
"2024-08-14T16:22:02.962Z","44.5017768","-125.4085563","ASNAP","","admin","","","","","","","","","","1.87","-1.26","-0.3","-1.0","295.89","0.57","0.58","SciCam","/SciCam.20240814_162202962.jpg","PilotCam","/PilotCam.20240814_162202962.jpg","BrowCam","/BrowCam.20240814_162202962.jpg","UserSelect","/UserSelect.20240814_162202962.jpg","","","-999.99","17.42","-999.99","-999.99","66bcd9aa111b2e001a29455c"
"2024-08-14T16:22:17.991Z","44.5017770","-125.4085563","ASNAP","","admin","","","","","","","","","","1.87","-1.24","-0.5","-1.3","295.89","0.58","0.58","SciCam","/SciCam.20240814_162217991.jpg","PilotCam","/PilotCam.20240814_162217991.jpg","BrowCam","/BrowCam.20240814_162217991.jpg","UserSelect","/UserSelect.20240814_162217991.jpg","","","-999.99","17.43","-999.99","-999.99","66bcd9b9111b2e001a294560"
