Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.filename,event_option.actions,event_option.type,event_option.highlights,event_option.cabled_plug,event_option.dummy_plug,event_option.event_comment,event_option.nav,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-16T14:52:45.634Z","44.6338127","-124.3075400","ASNAP","","admin","","","","","","","","","","42.76","14.92","1.5","-1.2","183.52","80.18","1.28","SciCam","/SciCam.20240816_145245634.jpg","PilotCam","/PilotCam.20240816_145245634.jpg","BrowCam","/BrowCam.20240816_145245634.jpg","UserSelect","/UserSelect.20240816_145245634.jpg","","","-999.99","7.30","-999.99","-999.99","66bf67bd111b2e001a29ced3"
"2024-08-16T14:53:00.665Z","44.6338127","-124.3075400","ASNAP","","admin","","","","","","","","","","42.76","14.92","1.4","-1.1","183.53","80.15","1.27","SciCam","/SciCam.20240816_145300665.jpg","PilotCam","/PilotCam.20240816_145300665.jpg","BrowCam","/BrowCam.20240816_145300665.jpg","UserSelect","/UserSelect.20240816_145300665.jpg","","","-999.99","7.34","-999.99","-999.99","66bf67cc111b2e001a29ced7"
"2024-08-16T14:53:15.696Z","44.6338128","-124.3075402","ASNAP","","admin","","","","","","","","","","42.75","14.93","2.6","-1.2","183.59","80.09","1.29","SciCam","/SciCam.20240816_145315696.jpg","PilotCam","/PilotCam.20240816_145315696.jpg","BrowCam","/BrowCam.20240816_145315696.jpg","UserSelect","/UserSelect.20240816_145315696.jpg","","","-999.99","7.29","-999.99","-999.99","66bf67db111b2e001a29cedb"
"2024-08-16T14:53:30.724Z","44.6338128","-124.3075403","ASNAP","","admin","","","","","","","","","","42.74","14.93","2.6","-1.2","183.58","80.15","1.34","SciCam","/SciCam.20240816_145330724.jpg","PilotCam","/PilotCam.20240816_145330724.jpg","BrowCam","/BrowCam.20240816_145330724.jpg","UserSelect","/UserSelect.20240816_145330724.jpg","","","-999.99","7.42","-999.99","-999.99","66bf67ea111b2e001a29cedf"
"2024-08-16T14:53:45.754Z","44.6338128","-124.3075403","ASNAP","","admin","","","","","","","","","","42.74","14.93","2.6","-1.2","183.58","80.22","1.28","SciCam","/SciCam.20240816_145345754.jpg","PilotCam","/PilotCam.20240816_145345754.jpg","BrowCam","/BrowCam.20240816_145345754.jpg","UserSelect","/UserSelect.20240816_145345754.jpg","","","-999.99","7.26","-999.99","-999.99","66bf67f9111b2e001a29cee3"
"2024-08-16T14:54:00.786Z","44.6338128","-124.3075404","ASNAP","","admin","","","","","","","","","","42.73","14.93","2.6","-1.2","183.58","80.19","1.34","SciCam","/SciCam.20240816_145400786.jpg","PilotCam","/PilotCam.20240816_145400786.jpg","BrowCam","/BrowCam.20240816_145400786.jpg","UserSelect","/UserSelect.20240816_145400786.jpg","","","-999.99","7.34","-999.99","-999.99","66bf6808111b2e001a29cee7"
"2024-08-16T14:54:15.818Z","44.6338129","-124.3075405","ASNAP","","admin","","","","","","","","","","42.72","14.94","2.6","-1.2","183.58","80.13","1.28","SciCam","/SciCam.20240816_145415818.jpg","PilotCam","/PilotCam.20240816_145415818.jpg","BrowCam","/BrowCam.20240816_145415818.jpg","UserSelect","/UserSelect.20240816_145415818.jpg","","","-999.99","7.34","-999.99","-999.99","66bf6817111b2e001a29ceeb"
"2024-08-16T14:54:30.849Z","44.6338128","-124.3075405","ASNAP","","admin","","","","","","","","","","42.72","14.93","2.6","-1.2","183.60","80.15","1.34","SciCam","/SciCam.20240816_145430849.jpg","PilotCam","/PilotCam.20240816_145430849.jpg","BrowCam","/BrowCam.20240816_145430849.jpg","UserSelect","/UserSelect.20240816_145430849.jpg","","","-999.99","7.38","-999.99","-999.99","66bf6826111b2e001a29ceef"
"2024-08-16T14:54:45.880Z","44.6338128","-124.3075405","ASNAP","","admin","","","","","","","","","","42.72","14.93","2.6","-1.2","183.59","80.17","1.29","SciCam","/SciCam.20240816_145445880.jpg","PilotCam","/PilotCam.20240816_145445880.jpg","BrowCam","/BrowCam.20240816_145445880.jpg","UserSelect","/UserSelect.20240816_145445880.jpg","","","-999.99","7.42","-999.99","-999.99","66bf6835111b2e001a29cef3"
"2024-08-16T14:55:00.911Z","44.6338128","-124.3075405","ASNAP","","admin","","","","","","","","","","42.72","14.93","2.6","-1.2","183.60","80.25","1.34","SciCam","/SciCam.20240816_145500911.jpg","PilotCam","/PilotCam.20240816_145500911.jpg","BrowCam","/BrowCam.20240816_145500911.jpg","UserSelect","/UserSelect.20240816_145500911.jpg","","","-999.99","7.30","-999.99","-999.99","66bf6844111b2e001a29cef7"
