Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.actions,event_option.milestone,event_option.type,event_option.filename,event_option.event_comment,event_option.dummy_plug,event_option.nav,event_option.cabled_plug,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-11T23:13:56.843Z","45.9166574","-130.0250736","ASNAP","","admin","","","","","","","","","-5.71","-1.03","-0.5","-7.4","74.02","191.26","0.58","SciCam","/SciCam.20240811_231356843.jpg","PilotCam","/PilotCam.20240811_231356843.jpg","BrowCam","/BrowCam.20240811_231356843.jpg","UserSelect","/UserSelect.20240811_231356843.jpg","","","-999.99","6.74","-999.99","-999.99","66b945b4111b2e001a286fed"
"2024-08-11T23:14:04.000Z","","","SulisCam","","admin","","","","sulis_20240811231404.jpg","","","","","","","","","","","","","","","","","","","","-7.692","-0.441","","","","","66ba9ad4111b2e001a28beee"
"2024-08-11T23:14:11.877Z","45.9166566","-130.0250741","ASNAP","","admin","","","","","","","","","-5.75","-1.12","-0.2","-8.0","74.31","191.21","0.58","SciCam","/SciCam.20240811_231411877.jpg","PilotCam","/PilotCam.20240811_231411877.jpg","BrowCam","/BrowCam.20240811_231411877.jpg","UserSelect","/UserSelect.20240811_231411877.jpg","","","-999.99","6.97","-999.99","-999.99","66b945c3111b2e001a286ff1"
"2024-08-11T23:14:26.909Z","45.9166573","-130.0250750","ASNAP","","admin","","","","","","","","","-5.82","-1.04","1.6","-7.4","75.00","191.18","0.58","SciCam","/SciCam.20240811_231426909.jpg","PilotCam","/PilotCam.20240811_231426909.jpg","BrowCam","/BrowCam.20240811_231426909.jpg","UserSelect","/UserSelect.20240811_231426909.jpg","","","-999.99","6.90","-999.99","-999.99","66b945d2111b2e001a286ff5"
"2024-08-11T23:14:34.773Z","45.9166573","-130.0250753","ROV Actions","Removing bungee's that secure the cable","guest","(Port) Manipulator in use","","","","","","","","-5.84","-1.04","1.4","-7.4","75.19","191.18","0.58","SciCam","/SciCam.20240811_231434773.jpg","PilotCam","/PilotCam.20240811_231434773.jpg","BrowCam","/BrowCam.20240811_231434773.jpg","UserSelect","/UserSelect.20240811_231434773.jpg","","","-999.99","7.04","-999.99","-999.99","66b945da111b2e001a286ff9"
"2024-08-11T23:14:41.942Z","45.9166569","-130.0250759","ASNAP","","admin","","","","","","","","","-5.89","-1.08","1.8","-7.7","75.15","191.16","0.58","SciCam","/SciCam.20240811_231441942.jpg","PilotCam","/PilotCam.20240811_231441942.jpg","BrowCam","/BrowCam.20240811_231441942.jpg","UserSelect","/UserSelect.20240811_231441942.jpg","","","-999.99","6.94","-999.99","-999.99","66b945e1111b2e001a286ffd"
"2024-08-11T23:14:56.969Z","45.9166568","-130.0250766","ASNAP","","admin","","","","","","","","","-5.94","-1.10","1.7","-8.1","75.19","191.14","0.58","SciCam","/SciCam.20240811_231456969.jpg","PilotCam","/PilotCam.20240811_231456969.jpg","BrowCam","/BrowCam.20240811_231456969.jpg","UserSelect","/UserSelect.20240811_231456969.jpg","","","-999.99","6.99","-999.99","-999.99","66b945f0111b2e001a287001"
"2024-08-11T23:15:11.999Z","45.9166562","-130.0250768","ASNAP","","admin","","","","","","","","","-5.96","-1.16","0.4","-7.7","74.81","191.22","0.58","SciCam","/SciCam.20240811_231511999.jpg","PilotCam","/PilotCam.20240811_231511999.jpg","BrowCam","/BrowCam.20240811_231511999.jpg","UserSelect","/UserSelect.20240811_231511999.jpg","","","-999.99","6.90","-999.99","-999.99","66b94600111b2e001a287005"
"2024-08-11T23:15:27.030Z","45.9166560","-130.0250770","ASNAP","","admin","","","","","","","","","-5.97","-1.19","0.7","-8.0","74.65","191.19","0.58","SciCam","/SciCam.20240811_231527030.jpg","PilotCam","/PilotCam.20240811_231527030.jpg","BrowCam","/BrowCam.20240811_231527030.jpg","UserSelect","/UserSelect.20240811_231527030.jpg","","","-999.99","6.91","-999.99","-999.99","66b9460f111b2e001a287009"
"2024-08-11T23:15:41.186Z","45.9166558","-130.0250763","ROV Actions","Removes pin for cable, stored away","guest","(Port) Manipulator in use","","","","","","","","-5.92","-1.21","0.8","-8.3","74.68","191.16","0.58","SciCam","/SciCam.20240811_231541186.jpg","PilotCam","/PilotCam.20240811_231541186.jpg","BrowCam","/BrowCam.20240811_231541186.jpg","UserSelect","/UserSelect.20240811_231541186.jpg","","","-999.99","6.85","-999.99","-999.99","66b9461d111b2e001a28700d"
