Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.filename,event_option.event_comment,event_option.cabled_plug,event_option.dummy_plug,event_option.new_watchstander,event_option.type,event_option.nav,event_option.highlights,event_option.formation,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-31T02:29:24.877Z","45.9169018","-130.0241332","ASNAP","","admin","","","","","","","","","","","","67.25","26.14","-0.3","-3.3","298.68","1540.72","1.13","SciCam","/SciCam.20240831_022924877.jpg","PilotCam","/PilotCam.20240831_022924877.jpg","BrowCam","/BrowCam.20240831_022924877.jpg","UserSelect","/UserSelect.20240831_022924877.jpg","","","-999.99","2.69","-999.99","-999.99","66d28004f9835f001a802b9d"
"2024-08-31T02:29:39.909Z","45.9169000","-130.0241327","ASNAP","","admin","","","","","","","","","","","","67.29","25.94","0.4","-8.2","298.82","1540.20","1.88","SciCam","/SciCam.20240831_022939909.jpg","PilotCam","/PilotCam.20240831_022939909.jpg","BrowCam","/BrowCam.20240831_022939909.jpg","UserSelect","/UserSelect.20240831_022939909.jpg","","","-999.99","2.50","-999.99","-999.99","66d28013f9835f001a802ba1"
"2024-08-31T02:29:54.942Z","45.9168964","-130.0241373","ASNAP","","admin","","","","","","","","","","","","66.93","25.54","1.6","-8.1","299.95","1539.02","3.10","SciCam","/SciCam.20240831_022954942.jpg","PilotCam","/PilotCam.20240831_022954942.jpg","BrowCam","/BrowCam.20240831_022954942.jpg","UserSelect","/UserSelect.20240831_022954942.jpg","","","-999.99","2.69","-999.99","-999.99","66d28022f9835f001a802ba5"
"2024-08-31T02:30:09.975Z","45.9168931","-130.0241579","ASNAP","","admin","","","","","","","","","","","","65.33","25.17","1.1","-8.2","272.41","1537.19","4.94","SciCam","/SciCam.20240831_023009975.jpg","PilotCam","/PilotCam.20240831_023009975.jpg","BrowCam","/BrowCam.20240831_023009975.jpg","UserSelect","/UserSelect.20240831_023009975.jpg","","","-999.99","2.50","-999.99","-999.99","66d28031f9835f001a802ba9"
"2024-08-31T02:30:25.009Z","45.9168932","-130.0241890","ASNAP","","admin","","","","","","","","","","","","62.92","25.18","1.3","-7.4","272.68","1535.84","6.15","SciCam","/SciCam.20240831_023025009.jpg","PilotCam","/PilotCam.20240831_023025009.jpg","BrowCam","/BrowCam.20240831_023025009.jpg","UserSelect","/UserSelect.20240831_023025009.jpg","","","-999.99","2.57","-999.99","-999.99","66d28041f9835f001a802bad"
"2024-08-31T02:30:35.653Z","45.9168955","-130.0242141","VEHICLE","Moving back towards new MJ03B with old CTD","guest","Other","","","","","","","","","","","60.97","25.44","1.3","-7.8","278.91","1536.28","5.71","SciCam","/SciCam.20240831_023035653.jpg","PilotCam","/PilotCam.20240831_023035653.jpg","BrowCam","/BrowCam.20240831_023035653.jpg","UserSelect","/UserSelect.20240831_023035653.jpg","","","-999.99","2.51","-999.99","-999.99","66d2804bf9835f001a802bb1"
"2024-08-31T02:30:40.036Z","45.9168955","-130.0242289","ASNAP","","admin","","","","","","","","","","","","59.82","25.43","1.3","-8.0","278.61","1536.25","5.58","SciCam","/SciCam.20240831_023040036.jpg","PilotCam","/PilotCam.20240831_023040036.jpg","BrowCam","/BrowCam.20240831_023040036.jpg","UserSelect","/UserSelect.20240831_023040036.jpg","","","-999.99","2.62","-999.99","-999.99","66d28050f9835f001a802bb5"
"2024-08-31T02:30:55.068Z","45.9168924","-130.0242654","ASNAP","","admin","","","","","","","","","","","","56.99","25.09","1.0","-7.8","296.39","1536.12","5.60","SciCam","/SciCam.20240831_023055068.jpg","PilotCam","/PilotCam.20240831_023055068.jpg","BrowCam","/BrowCam.20240831_023055068.jpg","UserSelect","/UserSelect.20240831_023055068.jpg","","","-999.99","2.49","-999.99","-999.99","66d2805ff9835f001a802bb9"
"2024-08-31T02:31:10.096Z","45.9168839","-130.0242992","ASNAP","","admin","","","","","","","","","","","","54.37","24.15","1.8","-7.8","318.33","1536.10","5.86","SciCam","/SciCam.20240831_023110096.jpg","PilotCam","/PilotCam.20240831_023110096.jpg","BrowCam","/BrowCam.20240831_023110096.jpg","UserSelect","/UserSelect.20240831_023110096.jpg","","","-999.99","2.43","-999.99","-999.99","66d2806ef9835f001a802bbd"
"2024-08-31T02:31:25.123Z","45.9168996","-130.0243515","ASNAP","","admin","","","","","","","","","","","","50.31","25.89","1.4","-7.8","323.62","1536.15","5.81","SciCam","/SciCam.20240831_023125123.jpg","PilotCam","/PilotCam.20240831_023125123.jpg","BrowCam","/BrowCam.20240831_023125123.jpg","UserSelect","/UserSelect.20240831_023125123.jpg","","","-999.99","2.57","-999.99","-999.99","66d2807df9835f001a802bc1"
