Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.actions,event_option.filename,event_option.cabled_plug,event_option.dummy_plug,event_option.event_comment,event_option.highlights,event_option.type,event_option.sample_description,event_option.nav,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-22T07:07:07.021Z","44.3596830","-124.9645532","ASNAP","","admin","","","","","","","","","","","-0.19","-2.90","-0.3","-0.8","172.68","0.70","0.58","SciCam","/SciCam.20240822_070707021.jpg","PilotCam","/PilotCam.20240822_070707021.jpg","BrowCam","/BrowCam.20240822_070707021.jpg","UserSelect","/UserSelect.20240822_070707021.jpg","","","-999.99","15.03","-999.99","-999.99","66c6e39b111b2e001a2b103a"
"2024-08-22T07:07:22.050Z","44.3596831","-124.9645533","ASNAP","","admin","","","","","","","","","","","-0.20","-2.89","-0.5","-1.5","173.02","0.71","0.58","SciCam","/SciCam.20240822_070722050.jpg","PilotCam","/PilotCam.20240822_070722050.jpg","BrowCam","/BrowCam.20240822_070722050.jpg","UserSelect","/UserSelect.20240822_070722050.jpg","","","-999.99","14.97","-999.99","-999.99","66c6e3aa111b2e001a2b103e"
"2024-08-22T07:07:37.077Z","44.3596830","-124.9645533","ASNAP","","admin","","","","","","","","","","","-0.20","-2.90","-1.0","-0.4","172.70","0.72","0.58","SciCam","/SciCam.20240822_070737077.jpg","PilotCam","/PilotCam.20240822_070737077.jpg","BrowCam","/BrowCam.20240822_070737077.jpg","UserSelect","/UserSelect.20240822_070737077.jpg","","","-999.99","14.97","-999.99","-999.99","66c6e3b9111b2e001a2b1042"
"2024-08-22T07:07:52.109Z","44.3596831","-124.9645534","ASNAP","","admin","","","","","","","","","","","-0.21","-2.89","-0.1","-1.6","173.12","0.70","0.58","SciCam","/SciCam.20240822_070752109.jpg","PilotCam","/PilotCam.20240822_070752109.jpg","BrowCam","/BrowCam.20240822_070752109.jpg","UserSelect","/UserSelect.20240822_070752109.jpg","","","-999.99","14.98","-999.99","-999.99","66c6e3c8111b2e001a2b1046"
"2024-08-22T07:08:07.136Z","44.3596830","-124.9645532","ASNAP","","admin","","","","","","","","","","","-0.19","-2.90","-0.5","-1.2","172.57","0.72","0.58","SciCam","/SciCam.20240822_070807136.jpg","PilotCam","/PilotCam.20240822_070807136.jpg","BrowCam","/BrowCam.20240822_070807136.jpg","UserSelect","/UserSelect.20240822_070807136.jpg","","","-999.99","14.96","-999.99","-999.99","66c6e3d7111b2e001a2b104a"
"2024-08-22T07:08:22.167Z","44.3596830","-124.9645537","ASNAP","","admin","","","","","","","","","","","-0.23","-2.90","-0.9","-0.2","173.63","0.74","0.58","SciCam","/SciCam.20240822_070822167.jpg","PilotCam","/PilotCam.20240822_070822167.jpg","BrowCam","/BrowCam.20240822_070822167.jpg","UserSelect","/UserSelect.20240822_070822167.jpg","","","-999.99","14.97","-999.99","-999.99","66c6e3e6111b2e001a2b104e"
"2024-08-22T07:08:37.200Z","44.3596831","-124.9645538","ASNAP","","admin","","","","","","","","","","","-0.24","-2.89","0.0","-1.3","174.07","0.73","0.58","SciCam","/SciCam.20240822_070837200.jpg","PilotCam","/PilotCam.20240822_070837200.jpg","BrowCam","/BrowCam.20240822_070837200.jpg","UserSelect","/UserSelect.20240822_070837200.jpg","","","-999.99","14.95","-999.99","-999.99","66c6e3f5111b2e001a2b1052"
"2024-08-22T07:08:52.223Z","44.3596830","-124.9645535","ASNAP","","admin","","","","","","","","","","","-0.22","-2.90","-0.0","-0.5","173.45","0.73","0.58","SciCam","/SciCam.20240822_070852223.jpg","PilotCam","/PilotCam.20240822_070852223.jpg","BrowCam","/BrowCam.20240822_070852223.jpg","UserSelect","/UserSelect.20240822_070852223.jpg","","","-999.99","14.95","-999.99","-999.99","66c6e404111b2e001a2b1056"
"2024-08-22T07:09:07.254Z","44.3596830","-124.9645535","ASNAP","","admin","","","","","","","","","","","-0.22","-2.90","-1.0","-0.8","173.36","0.75","0.58","SciCam","/SciCam.20240822_070907254.jpg","PilotCam","/PilotCam.20240822_070907254.jpg","BrowCam","/BrowCam.20240822_070907254.jpg","UserSelect","/UserSelect.20240822_070907254.jpg","","","-999.99","14.94","-999.99","-999.99","66c6e413111b2e001a2b105a"
"2024-08-22T07:09:22.285Z","44.3596830","-124.9645535","ASNAP","","admin","","","","","","","","","","","-0.22","-2.90","-0.8","-0.5","173.33","0.76","0.58","SciCam","/SciCam.20240822_070922285.jpg","PilotCam","/PilotCam.20240822_070922285.jpg","BrowCam","/BrowCam.20240822_070922285.jpg","UserSelect","/UserSelect.20240822_070922285.jpg","","","-999.99","14.93","-999.99","-999.99","66c6e422111b2e001a2b1062"
