Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.milestone,event_option.type,event_option.actions,event_option.event_comment,event_option.filename,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-09T12:05:26.668Z","44.5017758","-125.4085568","Biology Type","many on top of PIA","guest","","Crab","","","","1.83","-1.38","0.1","-6.0","359.94","192.07","0.58","SciCam","/SciCam.20240809_120526668.jpg","PilotCam","/PilotCam.20240809_120526668.jpg","BrowCam","/BrowCam.20240809_120526668.jpg","UserSelect","/UserSelect.20240809_120526668.jpg","","","-999.99","7.44","-999.99","-999.99","66b606062969d9001acb7e8b"
"2024-08-09T12:05:39.075Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","0.7","-6.5","0.80","191.95","0.58","SciCam","/SciCam.20240809_120539075.jpg","PilotCam","/PilotCam.20240809_120539075.jpg","BrowCam","/BrowCam.20240809_120539075.jpg","UserSelect","/UserSelect.20240809_120539075.jpg","","","-999.99","7.36","-999.99","-999.99","66b606132969d9001acb7e8f"
"2024-08-09T12:06:09.108Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","0.7","-6.9","7.09","192.03","0.58","SciCam","/SciCam.20240809_120609108.jpg","PilotCam","/PilotCam.20240809_120609108.jpg","BrowCam","/BrowCam.20240809_120609108.jpg","UserSelect","/UserSelect.20240809_120609108.jpg","","","-999.99","7.11","-999.99","-999.99","66b606312969d9001acb7e93"
"2024-08-09T12:06:25.188Z","44.5017758","-125.4085568","ROV Actions","grabbing top handle","guest","","","(Port) Manipulator in use","","","1.83","-1.38","0.6","-8.1","11.45","191.98","0.58","SciCam","/SciCam.20240809_120625188.jpg","PilotCam","/PilotCam.20240809_120625188.jpg","BrowCam","/BrowCam.20240809_120625188.jpg","UserSelect","/UserSelect.20240809_120625188.jpg","","","-999.99","7.39","-999.99","-999.99","66b606412969d9001acb7e97"
"2024-08-09T12:06:39.152Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","-0.5","-7.9","9.08","192.08","0.58","SciCam","/SciCam.20240809_120639152.jpg","PilotCam","/PilotCam.20240809_120639152.jpg","BrowCam","/BrowCam.20240809_120639152.jpg","UserSelect","/UserSelect.20240809_120639152.jpg","","","-999.99","7.36","-999.99","-999.99","66b6064f2969d9001acb7e9b"
"2024-08-09T12:07:09.198Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","-0.2","-8.5","359.02","192.04","0.58","SciCam","/SciCam.20240809_120709198.jpg","PilotCam","/PilotCam.20240809_120709198.jpg","BrowCam","/BrowCam.20240809_120709198.jpg","UserSelect","/UserSelect.20240809_120709198.jpg","","","-999.99","7.37","-999.99","-999.99","66b6066d2969d9001acb7e9f"
"2024-08-09T12:07:28.465Z","44.5017758","-125.4085568","ROV Actions","pintel latch block moved outward","guest","","","(Starboard) Manipulator in use","outboard*","","1.83","-1.38","-0.5","-8.5","0.43","192.02","0.58","SciCam","/SciCam.20240809_120728465.jpg","PilotCam","/PilotCam.20240809_120728465.jpg","BrowCam","/BrowCam.20240809_120728465.jpg","UserSelect","/UserSelect.20240809_120728465.jpg","","","-999.99","7.59","-999.99","-999.99","66b606802969d9001acb7ea3"
"2024-08-09T12:07:39.226Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","0.3","-6.7","359.69","192.12","0.58","SciCam","/SciCam.20240809_120739226.jpg","PilotCam","/PilotCam.20240809_120739226.jpg","BrowCam","/BrowCam.20240809_120739226.jpg","UserSelect","/UserSelect.20240809_120739226.jpg","","","-999.99","7.36","-999.99","-999.99","66b6068b2969d9001acb7ea7"
"2024-08-09T12:08:09.272Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","0.4","-7.2","359.27","192.07","0.58","SciCam","/SciCam.20240809_120809272.jpg","PilotCam","/PilotCam.20240809_120809272.jpg","BrowCam","/BrowCam.20240809_120809272.jpg","UserSelect","/UserSelect.20240809_120809272.jpg","","","-999.99","7.28","-999.99","-999.99","66b606a92969d9001acb7eab"
"2024-08-09T12:08:39.317Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","0.4","-5.6","5.53","192.04","0.58","SciCam","/SciCam.20240809_120839317.jpg","PilotCam","/PilotCam.20240809_120839317.jpg","BrowCam","/BrowCam.20240809_120839317.jpg","UserSelect","/UserSelect.20240809_120839317.jpg","","","-999.99","7.42","-999.99","-999.99","66b606c72969d9001acb7eaf"
"2024-08-09T12:08:54.434Z","44.5017758","-125.4085568","ROV Actions","releases top handle","guest","","","(Port) Manipulator in use","","","1.83","-1.38","0.8","-5.6","6.34","191.67","0.58","SciCam","/SciCam.20240809_120854434.jpg","PilotCam","/PilotCam.20240809_120854434.jpg","BrowCam","/BrowCam.20240809_120854434.jpg","UserSelect","/UserSelect.20240809_120854434.jpg","","","-999.99","7.23","-999.99","-999.99","66b606d62969d9001acb7eb3"
"2024-08-09T12:09:09.366Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","-0.3","-5.3","56.05","190.63","0.58","SciCam","/SciCam.20240809_120909366.jpg","PilotCam","/PilotCam.20240809_120909366.jpg","BrowCam","/BrowCam.20240809_120909366.jpg","UserSelect","/UserSelect.20240809_120909366.jpg","","","-999.99","7.36","-999.99","-999.99","66b606e52969d9001acb7eb7"
"2024-08-09T12:09:17.000Z","","","SulisCam","","admin","","","","","sulis_20240809120917.jpg","","","","","","","","","","","","","","","","-5.769","-0.303","","","","","66b6cb59111b2e001a27cc25"
"2024-08-09T12:09:39.412Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","1.2","-5.3","17.93","188.55","0.58","SciCam","/SciCam.20240809_120939412.jpg","PilotCam","/PilotCam.20240809_120939412.jpg","BrowCam","/BrowCam.20240809_120939412.jpg","UserSelect","/UserSelect.20240809_120939412.jpg","","","-999.99","7.43","-999.99","-999.99","66b607032969d9001acb7ebb"
"2024-08-09T12:10:09.458Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","-1.0","-4.5","191.00","188.85","0.58","SciCam","/SciCam.20240809_121009458.jpg","PilotCam","/PilotCam.20240809_121009458.jpg","BrowCam","/BrowCam.20240809_121009458.jpg","UserSelect","/UserSelect.20240809_121009458.jpg","","","-999.99","7.44","-999.99","-999.99","66b607212969d9001acb7ebf"
"2024-08-09T12:10:39.505Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","-1.1","-5.3","177.19","189.77","0.58","SciCam","/SciCam.20240809_121039505.jpg","PilotCam","/PilotCam.20240809_121039505.jpg","BrowCam","/BrowCam.20240809_121039505.jpg","UserSelect","/UserSelect.20240809_121039505.jpg","","","-999.99","7.34","-999.99","-999.99","66b6073f2969d9001acb7ec3"
"2024-08-09T12:10:47.083Z","44.5017758","-125.4085568","ROV Actions","aligning with PIA sockets","guest","","","","","","1.83","-1.38","-1.1","-5.3","179.60","190.28","0.58","SciCam","/SciCam.20240809_121047083.jpg","PilotCam","/PilotCam.20240809_121047083.jpg","BrowCam","/BrowCam.20240809_121047083.jpg","UserSelect","/UserSelect.20240809_121047083.jpg","","","-999.99","7.23","-999.99","-999.99","66b607472969d9001acb7ec7"
"2024-08-09T12:11:09.552Z","44.5017758","-125.4085568","ASNAP","","admin","","","","","","1.83","-1.38","-1.0","-5.4","181.52","190.73","0.58","SciCam","/SciCam.20240809_121109552.jpg","PilotCam","/PilotCam.20240809_121109552.jpg","BrowCam","/BrowCam.20240809_121109552.jpg","UserSelect","/UserSelect.20240809_121109552.jpg","","","-999.99","7.42","-999.99","-999.99","66b6075d2969d9001acb7ecb"
"2024-08-09T12:11:39.598Z","0.0087744","0.5238065","ASNAP","","admin","","","","","","10015334.19","-4944110.28","-1.7","-5.4","182.30","190.91","3.01","SciCam","/SciCam.20240809_121139598.jpg","PilotCam","/PilotCam.20240809_121139598.jpg","BrowCam","/BrowCam.20240809_121139598.jpg","UserSelect","/UserSelect.20240809_121139598.jpg","","","-999.99","7.42","-999.99","-999.99","66b6077b2969d9001acb7ecf"
"2024-08-09T12:12:09.616Z","0.7470993","0.2173478","ASNAP","","admin","","","","","","9990961.70","-4862066.85","-1.4","-5.2","176.66","191.39","3.96","SciCam","/SciCam.20240809_121209616.jpg","PilotCam","/PilotCam.20240809_121209616.jpg","BrowCam","/BrowCam.20240809_121209616.jpg","UserSelect","/UserSelect.20240809_121209616.jpg","","","-999.99","7.56","-999.99","-999.99","66b607992969d9001acb7ed3"
"2024-08-09T12:12:17.295Z","0.7470993","0.2173478","ROV Actions","PIA","guest","","","Latching to","","","9990961.70","-4862066.85","-0.4","-5.9","168.39","191.33","3.96","SciCam","/SciCam.20240809_121217295.jpg","PilotCam","/PilotCam.20240809_121217295.jpg","BrowCam","/BrowCam.20240809_121217295.jpg","UserSelect","/UserSelect.20240809_121217295.jpg","","","-999.99","7.42","-999.99","-999.99","66b607a12969d9001acb7ed7"
"2024-08-09T12:12:39.643Z","1.3528851","-3.9402022","ASNAP","","admin","","","","","","9660314.01","-4794751.30","0.7","-2.6","177.25","191.73","9.77","SciCam","/SciCam.20240809_121239643.jpg","PilotCam","/PilotCam.20240809_121239643.jpg","BrowCam","/BrowCam.20240809_121239643.jpg","UserSelect","/UserSelect.20240809_121239643.jpg","","","-999.99","7.50","-999.99","-999.99","66b607b72969d9001acb7edb"
"2024-08-09T12:13:09.689Z","0.8770899","2.4611329","ASNAP","","admin","","","","","","10169408.71","-4847622.16","-0.7","-2.4","176.12","191.03","9.06","SciCam","/SciCam.20240809_121309689.jpg","PilotCam","/PilotCam.20240809_121309689.jpg","BrowCam","/BrowCam.20240809_121309689.jpg","UserSelect","/UserSelect.20240809_121309689.jpg","","","-999.99","7.26","-999.99","-999.99","66b607d52969d9001acb7edf"
"2024-08-09T12:13:39.735Z","0.1358556","0.8101577","ASNAP","","admin","","","","","","10038107.55","-4929988.89","-0.8","-2.3","175.69","191.00","9.27","SciCam","/SciCam.20240809_121339735.jpg","PilotCam","/PilotCam.20240809_121339735.jpg","BrowCam","/BrowCam.20240809_121339735.jpg","UserSelect","/UserSelect.20240809_121339735.jpg","","","-999.99","7.58","-999.99","-999.99","66b607f32969d9001acb7ee3"
"2024-08-09T12:14:09.758Z","-0.2260397","0.5094278","ASNAP","","admin","","","","","","10014190.66","-4970203.07","0.5","-2.3","175.70","190.95","4.13","SciCam","/SciCam.20240809_121409758.jpg","PilotCam","/PilotCam.20240809_121409758.jpg","BrowCam","/BrowCam.20240809_121409758.jpg","UserSelect","/UserSelect.20240809_121409758.jpg","","","-999.99","7.67","-999.99","-999.99","66b608112969d9001acb7ee7"
"2024-08-09T12:14:39.809Z","-0.2260396","0.5094289","ASNAP","","admin","","","","","","10014190.75","-4970203.06","0.9","-2.2","175.69","190.95","4.57","SciCam","/SciCam.20240809_121439809.jpg","PilotCam","/PilotCam.20240809_121439809.jpg","BrowCam","/BrowCam.20240809_121439809.jpg","UserSelect","/UserSelect.20240809_121439809.jpg","","","-999.99","7.48","-999.99","-999.99","66b6082f2969d9001acb7eeb"
"2024-08-09T12:15:09.856Z","0.3089826","-1.4392053","ASNAP","","admin","","","","","","9859216.93","-4910750.84","0.9","-2.1","175.77","190.92","4.27","SciCam","/SciCam.20240809_121509856.jpg","PilotCam","/PilotCam.20240809_121509856.jpg","BrowCam","/BrowCam.20240809_121509856.jpg","UserSelect","/UserSelect.20240809_121509856.jpg","","","-999.99","7.24","-999.99","-999.99","66b6084d2969d9001acb7eef"
