"id","ts","event_value","event_author","event_free_text","event_option.actions","event_option.filename","event_option.milestone","event_option.nav","event_option.new_watchstander","event_option.type","vehicleReNavData.altitude_uom","vehicleReNavData.altitude_value","vehicleReNavData.depth_uom","vehicleReNavData.depth_value","vehicleReNavData.heading_uom","vehicleReNavData.heading_value","vehicleReNavData.latitude_uom","vehicleReNavData.latitude_value","vehicleReNavData.longitude_uom","vehicleReNavData.longitude_value","vehicleReNavData.pitch_uom","vehicleReNavData.pitch_value","vehicleReNavData.roll_uom","vehicleReNavData.roll_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_3_uom","vehicleRealtimeFramegrabberData.camera_name_3_value","vehicleRealtimeFramegrabberData.camera_name_4_uom","vehicleRealtimeFramegrabberData.camera_name_4_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_3_uom","vehicleRealtimeFramegrabberData.filename_3_value","vehicleRealtimeFramegrabberData.filename_4_uom","vehicleRealtimeFramegrabberData.filename_4_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.local_x_uom","vehicleRealtimeNavData.local_x_value","vehicleRealtimeNavData.local_y_uom","vehicleRealtimeNavData.local_y_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleTemperatureProbe.probe1_temperature_uom","vehicleTemperatureProbe.probe1_temperature_value","vehicleTemperatureProbe.probe2_temperature_uom","vehicleTemperatureProbe.probe2_temperature_value","vehicleTemperatureProbe.probe3_temperature_uom","vehicleTemperatureProbe.probe3_temperature_value","vehicleTemperatureProbe.probe4_temperature_uom","vehicleTemperatureProbe.probe4_temperature_value"
"64e4c9cf95482d0019b1e9f0","2023-08-22T14:44:31.945Z","ASNAP","admin","",,,,,,,"meters","0.7","meters","80.029","deg","272.729","ddeg","44.63720627","ddeg","-124.30574642",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144431945.jpg",,"/BrowCam.20230822_144431945.jpg",,"/UserSelect.20230822_144431945.jpg",,"/SciCam.20230822_144431945.jpg","meters","0.00","meters","80.03","deg","272.85","ddeg","0.6465077","meters","8658591.64","meters","-4888015.08","ddeg","-15.1890254","deg","-2.5","deg","-0.5","degC","7.67","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4c9ed95482d0019b1e9f4","2023-08-22T14:45:01.989Z","ASNAP","admin","",,,,,,,"meters","0.7","meters","79.815","deg","273.413","ddeg","44.63722295","ddeg","-124.30575051",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144501989.jpg",,"/BrowCam.20230822_144501989.jpg",,"/UserSelect.20230822_144501989.jpg",,"/SciCam.20230822_144501989.jpg","meters","0.00","meters","79.70","deg","273.48","ddeg","0.6465076","meters","8658591.66","meters","-4888015.09","ddeg","-15.1890251","deg","-2.0","deg","7.3","degC","7.51","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4ca0c95482d0019b1e9f8","2023-08-22T14:45:32.032Z","ASNAP","admin","",,,,,,,"meters","0.7","meters","74.727","deg","273.773","ddeg","44.63729481","ddeg","-124.30576598",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144532032.jpg",,"/BrowCam.20230822_144532032.jpg",,"/UserSelect.20230822_144532032.jpg",,"/SciCam.20230822_144532032.jpg","meters","0.00","meters","74.97","deg","273.83","ddeg","0.6465539","meters","8658586.17","meters","-4888009.94","ddeg","-15.1890943","deg","1.6","deg","2.0","degC","7.85","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4ca2a95482d0019b1e9fc","2023-08-22T14:46:02.095Z","ASNAP","admin","",,,,,,,"meters","0.8","meters","69.857","deg","222.370","ddeg","44.63736429","ddeg","-124.30575761",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144602095.jpg",,"/BrowCam.20230822_144602095.jpg",,"/UserSelect.20230822_144602095.jpg",,"/SciCam.20230822_144602095.jpg","meters","0.00","meters","69.91","deg","222.72","ddeg","0.6465678","meters","8658581.18","meters","-4888008.40","ddeg","-15.1891572","deg","1.9","deg","-1.5","degC","8.06","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4ca4895482d0019b1ea00","2023-08-22T14:46:32.164Z","ASNAP","admin","",,,,,,,"meters","0.9","meters","70.231","deg","221.235","ddeg","44.63738056","ddeg","-124.30571858",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144632164.jpg",,"/BrowCam.20230822_144632164.jpg",,"/UserSelect.20230822_144632164.jpg",,"/SciCam.20230822_144632164.jpg","meters","0.00","meters","70.14","deg","221.38","ddeg","0.6465825","meters","8658582.87","meters","-4888006.76","ddeg","-15.1891359","deg","0.3","deg","-1.4","degC","7.90","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4ca6695482d0019b1ea04","2023-08-22T14:47:02.258Z","ASNAP","admin","",,,,,,,"meters","1.3","meters","70.167","deg","215.616","ddeg","44.63735014","ddeg","-124.30572895",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144702258.jpg",,"/BrowCam.20230822_144702258.jpg",,"/UserSelect.20230822_144702258.jpg",,"/SciCam.20230822_144702258.jpg","meters","0.00","meters","70.17","deg","215.70","ddeg","0.6465662","meters","8658582.49","meters","-4888008.58","ddeg","-15.1891407","deg","0.7","deg","-1.3","degC","7.55","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4ca8495482d0019b1ea08","2023-08-22T14:47:32.307Z","ASNAP","admin","",,,,,,,"meters","1.8","meters","70.076","deg","214.124","ddeg","44.63733611","ddeg","-124.30574386",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144732307.jpg",,"/BrowCam.20230822_144732307.jpg",,"/UserSelect.20230822_144732307.jpg",,"/SciCam.20230822_144732307.jpg","meters","0.00","meters","70.08","deg","214.28","ddeg","0.6465611","meters","8658582.15","meters","-4888009.14","ddeg","-15.1891450","deg","1.5","deg","-1.2","degC","7.84","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4caa295482d0019b1ea0c","2023-08-22T14:48:02.335Z","ASNAP","admin","",,,,,,,"meters","2.6","meters","70.148","deg","214.002","ddeg","44.63734310","ddeg","-124.30573249",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144802335.jpg",,"/BrowCam.20230822_144802335.jpg",,"/UserSelect.20230822_144802335.jpg",,"/SciCam.20230822_144802335.jpg","meters","0.00","meters","70.06","deg","214.15","ddeg","0.6465660","meters","8658582.52","meters","-4888008.60","ddeg","-15.1891403","deg","1.0","deg","-1.4","degC","7.84","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cac095482d0019b1ea10","2023-08-22T14:48:32.380Z","ASNAP","admin","",,,,,,,"meters","3.8","meters","70.248","deg","214.163","ddeg","44.63733864","ddeg","-124.30572339",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144832380.jpg",,"/BrowCam.20230822_144832380.jpg",,"/UserSelect.20230822_144832380.jpg",,"/SciCam.20230822_144832380.jpg","meters","0.00","meters","70.29","deg","214.31","ddeg","0.6465635","meters","8658582.73","meters","-4888008.88","ddeg","-15.1891377","deg","1.0","deg","-1.2","degC","7.60","degC","-999.99","degC","-999.99","degC","-999.99"
"64e4cade95482d0019b1ea14","2023-08-22T14:49:02.402Z","ASNAP","admin","",,,,,,,"meters","5.3","meters","70.183","deg","213.983","ddeg","44.63733337","ddeg","-124.30572312",,,,,,"PilotCam",,"BrowCam",,"UserSelect",,"SciCam",,"/PilotCam.20230822_144902402.jpg",,"/BrowCam.20230822_144902402.jpg",,"/UserSelect.20230822_144902402.jpg",,"/SciCam.20230822_144902402.jpg","meters","0.00","meters","70.26","deg","214.13","ddeg","0.6465608","meters","8658582.71","meters","-4888009.17","ddeg","-15.1891379","deg","1.0","deg","-1.0","degC","7.89","degC","-999.99","degC","-999.99","degC","-999.99"
